,habitat
Dendromus_mesomelas,Arboreal
Deomys_ferrugineus,Arboreal
Batomys_granti,Arboreal
Microtus_pennsylvanicus,Arboreal
Microtus_irene,Arboreal
Phyllotis_xanthopygus_chilensis,Arboreal
Allactaga_sibirica,Arboreal
Aplodontia_rufa,Terrestrial
Ratufa_bicolor,Arboreal
Ratufa_sp._LSUMZ_M3476,Arboreal
Sciurillus_pusillus,Arboreal
Glaucomys_volans,Arboreal
Tamiasciurus_hudsonicus,Intermediate
Sciurus_carolinensis,Arboreal
Sciurus_stramineus,Arboreal
Microsciurus_flaviventer,Arboreal
Callosciurus_erythraeus,Arboreal
Callosciurus_prevostii,Arboreal
Tamiops_swinhoei,Intermediate
Dremomys_pernyi,Arboreal
Sundasciurus_philippinensis,Arboreal
Exilisciurus_concinnus,Arboreal
Xerus_inauris,Terrestrial
Xerus_rutilus,Terrestrial
Spermophilopsis_leptodactylus,Terrestrial
Sciurotamias_davidianus,Terrestrial
Tamias_sibiricus,Intermediate
Spermophilus_lateralis,Terrestrial
Marmota_monax,Terrestrial
Heliosciurus_ruwenzorii,Arboreal
Heliosciurus_undulatus,Arboreal
Protoxerus_stangeri,Arboreal
Funisciurus_carruthersi,Intermediate
Paraxerus_cepapi,Intermediate
Paraxerus_ochraceus,Intermediate
Paraxerus_vexillarius,Intermediate